tmi0,tmax,text,tier
0,6.828454,1,2
6.828454,8.761202,0,2
8.761202,10.182341,1,2
10.182341,12.342471,0,2
12.342471,17.657529,1,2
17.657529,18.225984,0,2
18.225984,19.220781,1,2
19.220781,22.659936,0,2
22.659936,23.086278,1,2
23.086278,23.62631,0,2
23.62631,26.468587,1,2
26.468587,27.804457,0,2
27.804457,28.270405,1,2
28.270405,29.407316,0,2
29.407316,34.040227,1,2
34.040227,35.120292,0,2
35.120292,35.40452,1,2
35.40452,39.383707,0,2
39.383707,41.884911,1,2
41.884911,48.13792,0,2
48.13792,54.484603,1,2
54.484603,54.996213,0,2
54.996213,55.394131,1,2
55.394131,56.673156,0,2
56.673156,57.667953,1,2
57.667953,60.908148,0,2
60.908148,61.817677,1,2
61.817677,62.414555,0,2
62.414555,64.233612,1,2
64.233612,66.962198,0,2
66.962198,69.065483,1,2
69.065483,82.916919,0,2
82.916919,83.712756,1,2
83.712756,86.810838,0,2
86.810838,87.834058,1,2
87.834058,88.345667,0,2
88.345667,90.790025,1,2
90.790025,91.500595,0,2
91.500595,91.784822,1,2
91.784822,92.353278,0,2
92.353278,95.479782,1,2
95.479782,96.048238,0,2
96.048238,110.128691,1,2
110.128691,110.640301,0,2
110.640301,112.317245,1,2
112.317245,113.113082,0,2
113.113082,114.335261,1,2
114.335261,114.846871,0,2
114.846871,115.074253,1,2
115.074253,116.523814,0,2
116.523814,117.035424,1,2
117.035424,120.190351,0,2
120.190351,121.224755,1,2
121.224755,122.30482,0,2
122.30482,125.431324,1,2
125.431324,129.353666,0,2
129.353666,130.519,1,2
130.519,135.947749,0,2
135.947749,139.187944,1,2
139.187944,139.813245,0,2
139.813245,141.632302,1,2
141.632302,142.257603,0,2
142.257603,142.42814,1,2
142.42814,144.957766,0,2
144.957766,147.669113,1,2
147.669113,149.687129,0,2
149.687129,154.519,1,2
154.519,155.087455,0,2
155.087455,155.655911,1,2
155.655911,156.792821,0,2
156.792821,157.872887,1,2
157.872887,158.469765,0,2
158.469765,160.06144,1,2
160.06144,161.084659,0,2
161.084659,162.534221,1,2
162.534221,163.216367,0,2
163.216367,168.389311,1,2
168.389311,170.731161,0,2
170.731161,171.242771,1,2
171.242771,178.547423,0,2
178.547423,179.314837,1,2
179.314837,181.730773,0,2
181.730773,182.356074,1,2
182.356074,185.596269,0,2
185.596269,185.994188,1,2
185.994188,186.562643,0,2
186.562643,187.074253,1,2
187.074253,188.040627,0,2
188.040627,193.224755,1,2
193.224755,195.441731,0,2
195.441731,195.811227,1,2
195.811227,196.891292,0,2
196.891292,201.723162,1,2
201.723162,203.940138,0,2
203.940138,204.394903,1,2
204.394903,205.418122,0,2
205.418122,206.015,1,2
206.015,209.283619,0,2
209.283619,210.335261,1,2
210.335261,210.988985,0,2
210.988985,211.301635,1,2
211.301635,213.262806,0,2
213.262806,213.632302,1,2
213.632302,219.707446,0,2
219.707446,220.958047,1,2
220.958047,223.402406,0,2
223.402406,225.19304,1,2
225.19304,227.722666,0,2
227.722666,228.774309,1,2
228.774309,229.968065,0,2
229.968065,231.417626,1,2
231.417626,232.58296,0,2
232.58296,235.936846,1,2
235.936846,237.301139,0,2
237.301139,240.60517,1,2
